iter	Passed	Remaining
938	88481	5747
939	88571	5653
940	88671	5559
941	88776	5466
942	88877	5372
943	88983	5278
944	89086	5184
945	89185	5090
946	89274	4996
947	89364	4901
948	89468	4808
949	89569	4714
950	89670	4620
951	89770	4526
952	89871	4432
953	89960	4337
954	90049	4243
955	90149	4149
956	90239	4054
957	90334	3960
958	90428	3866
959	90522	3771
960	90612	3677
961	90711	3583
962	90808	3488
963	90897	3394
964	90986	3300
965	91081	3205
966	91171	3111
967	91260	3016
968	91350	2922
969	91439	2828
970	91539	2733
971	91640	2639
972	91735	2545
973	91829	2451
974	91924	2357
975	92013	2262
976	92103	2168
977	92203	2074
978	92293	1979
979	92388	1885
980	92477	1791
981	92572	1696
982	92666	1602
983	92761	1508
984	92856	1414
985	92945	1319
986	93045	1225
987	93135	1131
988	93229	1036
989	93324	942
990	93419	848
991	93520	754
992	93615	659
993	93704	565
994	93792	471
995	93891	377
996	93986	282
997	94076	188
998	94166	94
999	94256	0
